ID,Manufacturer,Model,Category,Mileage,Gear box type,Doors,Wheel,Color,Interior color,VIN,Leather interior,Price,Customs
45628667,TOYOTA,Tacoma,Sedan,397915 km,Automatic,,Left wheel,White,,5TFJX4GN4DX026901,1,9100,834
45788844,TOYOTA,RAV 4,Jeep,30402 km,Variator,4/5,Left wheel,Blue,Black,,0,15000,518
45653468,HONDA,Insight,Hatchback,210758 km,Automatic,4/5,Left wheel,Silver,,JHMZE2H57AS029004,1,800,574
45731431,KIA,Optima,Sedan,131040 km,Tiptronic,4/5,Left wheel,White,Black,KNAGM4AD8D5052655,0,5500,751
45771182,LEXUS,ES 300,Sedan,135500 km,Tiptronic,4/5,Left wheel,White,Black,,1,13500,
45761498,TOYOTA,Prius,Hatchback,226000 km,Automatic,4/5,Left wheel,Blue,Beige,,1,2980,761
45544874,MITSUBISHI,L 200,Jeep,220000 km,Manual,4/5,Left wheel,White,Black,,0,10204,
45628627,TOYOTA,Tacoma,Sedan,16571 km,Automatic,,Left wheel,Black,,3TMCZ5AN1JM143421,1,2600,1823
45491643,HYUNDAI,Elantra,Sedan,116800 km,Tiptronic,4/5,Left wheel,White,White,,0,7000,
45653186,HONDA,Insight,Jeep,243192 km,Automatic,,Left wheel,White,,JHMZE2H74AS016759,1,Price negotiable,574
45771176,NISSAN,Juke,Jeep,166013 km,Automatic,4/5,Left wheel,White,,JN8AF5MR1DT215890,1,Price negotiable,530
45731517,BMW,M6,Coupe,33500 km,Tiptronic,4/5,Left wheel,White,Black,,1,38000,1301
45731396,HYUNDAI,H1,Minivan,139398 km,Automatic,4/5,Left wheel,Black,Black,,1,11745,1091
45628544,TOYOTA,Tacoma,Pickup,0 km,Automatic,4/5,Left wheel,,,5TFTX4GN7FX043199,1,Price negotiable,1002
45800402,VOLKSWAGEN,Passat,Sedan,153000 km,Tiptronic,4/5,Left wheel,Silver,Black,,0,5300,779
45788828,MITSUBISHI,Outlander,Jeep,40000 km,Tiptronic,4/5,Left wheel,Grey,Black,,0,Price negotiable,1017
45653173,HONDA,Civic,Jeep,228706 km,Automatic,4/5,Left wheel,White,,JHMFA3F23BS000372,1,Price negotiable,490
45771171,TOYOTA,Prius,Coupe,118856 km,Automatic,4/5,Left wheel,White,Black,JTDKN3DU1E0380448,1,Price negotiable,308
45813062,SUZUKI,Swift,Hatchback,176000 km,Automatic,2/3,Right-hand drive,Black,Black,,0,2700,
45731382,HYUNDAI,H1,Minivan,94584 km,Automatic,4/5,Left wheel,Silver,Black,,1,11660,1091
45616669,TOYOTA,Tacoma,Sedan,16571 km,Automatic,,Left wheel,Black,,3TMCZ5AN1JM143421,1,2600,1823
45653159,HONDA,Civic,Jeep,145486 km,Automatic,4/5,Left wheel,Silver,,JHMFB4F22CS008743,1,Price negotiable,503
45720091,HYUNDAI,Sonata Sport Limited,Sedan,105000 km,Tiptronic,4/5,Left wheel,Carnelian red,Black,,1,Price negotiable,
45771165,BUICK,Enclave,Jeep,141922 km,Automatic,4/5,Left wheel,Silver,Black,,1,200,1203
45616604,TOYOTA,Tacoma,Pickup,158870 km,Automatic,4/5,Left wheel,White,,5TFNX4CNXDX020947,1,1350,834
